Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Saint Lucia,2020-03-18T12:13:130,2,0,0,13.9094,-60.9789
,Sudan,2020-03-18T12:13:130,2,1,0,12.8628,30.2176
United States Virgin Islands,US,2020-03-18T12:13:131,2,0,0,18.3500,-64.9330
Virgin Islands,US,2020-03-18T12:13:131,2,0,0,18.3358,-64.8963
,Zambia,2020-03-18T12:13:132,2,0,0,-15.4167,28.2833
,Antigua and Barbuda,2020-03-18T12:13:132,1,0,0,17.0608,-61.7964
Northern Territory,Australia,2020-03-18T12:13:133,1,0,0,-12.4634,130.8456
,Bhutan,2020-03-18T12:13:133,1,0,0,27.5142,90.4336
Prince Edward Island,Canada,2020-03-18T12:13:134,1,0,0,46.5107,-63.4168
,Central African Republic,2020-03-18T12:13:134,1,0,0,6.6111,20.9394
Tibet,China,2020-03-18T12:13:135,1,0,1,31.6927,88.0924
,Congo (Brazzaville),2020-03-18T12:13:135,1,0,0,-0.2280,15.8277
,Djibouti,2020-03-18T12:13:136,1,0,0,11.8251,42.5903
,Eswatini,2020-03-18T12:13:136,1,0,0,-26.5225,31.4659
,Gabon,2020-03-18T12:13:137,1,0,0,-0.8037,11.6094
,"Gambia, The",2020-03-18T12:13:137,1,0,0,13.4432,-15.3101
,Greenland,2020-03-18T12:13:138,1,0,0,71.7069,-42.6043
,Guinea,2020-03-18T12:13:138,1,0,0,9.9456,-9.6966
,Holy See,2020-03-18T12:13:139,1,0,0,41.9029,12.4534
,Mauritania,2020-03-18T12:13:139,1,0,0,21.0079,-10.9408
,Montenegro,2020-03-18T12:13:140,1,0,0,42.7087,19.3744
,Nepal,2020-03-18T12:13:140,1,0,1,28.3949,84.1240
,Saint Vincent and the Grenadines,2020-03-18T12:13:141,1,0,0,12.9843,-61.2872
,Somalia,2020-03-18T12:13:141,1,0,0,5.1521,46.1996
,Suriname,2020-03-18T12:13:142,1,0,0,3.9193,-56.0278
,The Bahamas,2020-03-18T12:13:142,1,0,0,24.2500,-76.0000
,Togo,2020-03-18T12:13:143,1,0,0,8.6195,0.8248
US,US,2020-03-18T12:13:143,1,0,106,37.0902,-95.7129
